page,title,info,intro,href
2,访谈:慕了，新手入行，第一份工作月薪就已过万！,作者：管理员   类别：学院动态   日期：2022-02-14 13:25:23   阅读：451 次   消耗积分：0 分,哈喽，小伙伴们，别来无恙，假期结束，你“膨胀”了吗？亲戚走完了，牌也打累了，接下来工作有着落了吗？蜗牛学苑年前就业的小伙伴，如今也都开工撸起了代码。想换个行业？...,http://old.woniuxy.com/note/835
2,漫谈:蜗牛学员如何应对“节后综合征”？,作者：管理员   类别：学院动态   日期：2022-02-14 12:18:45   阅读：271 次   消耗积分：0 分,有人说这世间最短的距离，就是从假期开始到结束，不管长假还是短假一晃就过去了。相信假期中大家不是聚餐就是在玩游戏、追剧，假期结束立马要回到紧张的工作和学习模式下，...,http://old.woniuxy.com/note/834
2,资讯:蜗牛学苑2021年就业报告来袭，各学科平均薪资再...,作者：管理员   类别：学院动态   日期：2022-01-25 10:34:25   阅读：709 次   消耗积分：0 分,2021年一转眼就结束了，这一年疫情反复，对蜗牛学苑线下教学虽有影响，但学员们就业情况还是非常不错的，无论是就业薪资还是就业率在2020年的基础上都呈现出稳定增长趋势...,http://old.woniuxy.com/note/833
2,资讯:盘点蜗牛学苑总播放量超300万次的课程视频，为何...,作者：管理员   类别：学院动态   日期：2022-01-14 11:23:57   阅读：669 次   消耗积分：0 分,前段时间同学在交流群里自爆通过自学蜗牛B站上的课程成功上岸，并拿到12K薪资！ 可见只要坚持跟着视频课程学习，小伙伴们总会有一定收获。B站自学拿到12Koffer自2...,http://old.woniuxy.com/note/832
2,资讯:首期Java高薪特训班就业薪资来袭，最高月薪23K...,作者：管理员   类别：学院动态   日期：2022-01-14 11:03:26   阅读：411 次   消耗积分：0 分,寒冬腊月蜗牛学苑就业喜报依旧不断，近期上海校区Java开发特训班的小伙伴带来了就业捷报。上海校区首次推出的Java开发高薪定制班是蜗牛学苑2021年在教学上的一次重大突...,http://old.woniuxy.com/note/831
2,资讯:本周成都、武汉校区迎来2022年首期班~,作者：管理员   类别：学院动态   日期：2022-01-14 10:36:49   阅读：513 次   消耗积分：0 分,距离春节越来越近，各地的年味也越来越浓了，小伙伴们是已经休假在家？还是仍然坚守在各自岗位上呢？本周咱们蜗牛学苑成都、武汉校区迎来了2022年的首期班，小蜗牛们趁着...,http://old.woniuxy.com/note/830
2,访谈:流水线上的大专生，转行测试入职起薪9K！,作者：管理员   类别：学院动态   日期：2022-01-07 15:12:37   阅读：648 次   消耗积分：0 分,● 重复的流水线工作让我感觉生活一下就望到了头，失去挑战的工作更让我觉得与车间运行的机器没多大差别。想活得更有自我，想获得更多机会和选择，我转行了！学科|...,http://old.woniuxy.com/note/829
2,资讯:年底就业形式严峻？来看看蜗牛学苑的就业情况，一...,作者：管理员   类别：学院动态   日期：2022-01-07 15:10:29   阅读：622 次   消耗积分：0 分,2021年转瞬即逝，零点钟声敲响我们迈进了2022年。每年的这个时候不论是在校学生还是在职的朋友们，都在忙着年终总结，做着新一年的规划。然而年初的计划，自己立下的fla...,http://old.woniuxy.com/note/828
2,漫谈:什么是敏捷测试工程师？,作者：管理员   类别：测试开发   日期：2022-01-07 15:07:54   阅读：504 次   消耗积分：0 分,随着软件行业敏捷开发越来越普遍，敏捷测试工程师要求也越来越多，那么敏捷测试与普通测试有什么区别呢？为了加深同学们对敏捷测试的了解，先简单介绍下敏捷测试：敏捷测试...,http://old.woniuxy.com/note/827
2,访谈:三十而立零基础转行测试，入职起薪13K!,作者：管理员   类别：学院动态   日期：2022-01-04 17:10:10   阅读：710 次   消耗积分：0 分,进入职场后相信很多人都已经感受到了来自职场的压力，但无论职场竞争多激励，只要你能力足够突出，就不会被推到前浪的位置。同理，如果能力不足还不努力，势必会遭到行业淘...,http://old.woniuxy.com/note/826
3,资讯:考研党请查收，来自蜗牛创想为你送上的一份定制福...,作者：管理员   类别：学院动态   日期：2022-01-04 15:50:45   阅读：1660 次   消耗积分：0 分,本周考研刚结束，热搜：新一批考生已经开始备考了……据了解2022年硕士研究生报名人数为457万，相比2021年考研激增了80万，再创历史新高。本科毕业是考研or就业不少同学...,http://old.woniuxy.com/note/825
3,资讯:只争朝夕不负韶华，再见2021！,作者：管理员   类别：学院动态   日期：2022-01-04 15:47:52   阅读：869 次   消耗积分：0 分,对于蜗牛学苑来说这是充实且不断成长的一年，蜗牛学苑的每天、每个月都在发生着变化……这一年里我们见证了老师们的辛勤付出，看到了学员们的坚持不懈，小蜗牛们在这里收获...,http://old.woniuxy.com/note/824
3,资讯:福利放送|蜗牛学苑网络安全精品课程上新B站啦！,作者：管理员   类别：学院动态   日期：2021-12-17 11:01:54   阅读：2274 次   消耗积分：0 分,盼星星盼月亮蜗牛学苑网络安全自学课程终于在B站上公开了！对想要自学网络安全的小伙伴来说简直就是福音！本套课程由邓强老师带领咱们的教师团队花费了2年多的时间，走访...,http://old.woniuxy.com/note/823
3,访谈:转行IT入职起薪18.5K，211院校毕业光环褪去后的...,作者：管理员   类别：学院动态   日期：2021-12-17 10:56:01   阅读：1816 次   消耗积分：0 分,● 带着光环毕业但也曾经历至暗时刻，那又怎样？想要挥别过去的影子，就必须付出努力，果敢的选择和坚持学习，是找到人生新高光时刻的关键一步。学员精彩就业分享上...,http://old.woniuxy.com/note/822
3,资讯:成都校区近期就业喜报，最高月薪14K，平均月薪83...,作者：管理员   类别：学院动态   日期：2021-12-17 10:30:53   阅读：1436 次   消耗积分：0 分,很多时候找对努力的方向比努力本身更重要！刚毕业时有同学说自己专业不好就业、薪资不高，还是勉强坚持了几年。偶然的聚会才发现同班同学早已经换了行业，当下才来感叹自己...,http://old.woniuxy.com/note/821
3,访谈:月薪从5K飙升到11K，成长路上少不了引路人！,作者：管理员   类别：学院动态   日期：2021-12-10 15:03:33   阅读：2008 次   消耗积分：0 分,● 为什么会出现职业迷茫？你缺的从来不是出路，而是引路人，蜗牛学苑就是我的灯塔，引领我进入IT行业，为高薪，更为未来职业发展铺路……幸福和美好的未来不会自然...,http://old.woniuxy.com/note/820
3,资讯:年底愁就业？重庆校区近期就业喜报频传，最高月薪...,作者：管理员   类别：学院动态   日期：2021-12-10 15:00:04   阅读：1764 次   消耗积分：0 分,年底了打工人的求职焦虑变得更明显了？▶应届生，年前想找一份适合的实习工作，除了销售还是销售，难道技术岗位都不招人了？▶毕业2年多，换了很多工作，考虑到年后竞争压...,http://old.woniuxy.com/note/819
3,漫谈:如何利用零碎时间自学实现“黑客梦”？,作者：管理员   类别：网络安全   日期：2021-12-10 14:56:51   阅读：1783 次   消耗积分：0 分,▶作为一个工科男，大学期间尤其成谜于“黑客”方面的电影，虽然毕业后没有干这行，但对这行依旧有浓厚的兴趣。本文初衷便是针对这部分想要入门或转行网络安全，实现自己“...,http://old.woniuxy.com/note/818
3,访谈:通过纯培训简历拿下月薪10K的offer，他们是如何...,作者：管理员   类别：学院动态   日期：2021-12-03 11:12:33   阅读：2113 次   消耗积分：0 分,在知乎上经常看到这样的提问：IT培训学完后不想简历包装能拿到offer吗？IT培训机构学员找工作要不要进行简历包装？培训机构出来的学员都喜欢把简历包装成有项目经验的吗...,http://old.woniuxy.com/note/817
3,资讯:上海校区近期就业喜报来啦！最高月薪25K，平均月...,作者：管理员   类别：学院动态   日期：2021-12-03 11:04:05   阅读：1948 次   消耗积分：0 分,11月秋招进入尾声，蜗牛学苑上海校区的学员们抓住秋招的小尾巴，顺利拿到了自己满意的offer，不仅打破了自己入学前定下的就业小目标，还突破了之前毕业学员们的最高薪资...,http://old.woniuxy.com/note/816
4,漫谈:网安话题|黑客一定是“黑”的吗？,作者：管理员   类别：网络安全   日期：2021-12-03 10:58:20   阅读：1749 次   消耗积分：0 分,一提到“黑客”，大家脑海中浮现出来的大概便是在屏幕前输入代码，发动网络攻击，一群非常神秘的人。然而，黑客一定就是“黑”的吗？据了解黑客的概念早在互联网诞生初期就...,http://old.woniuxy.com/note/815
4,资讯:12月开班|2021年最后一次弯道超车机会！,作者：管理员   类别：学院动态   日期：2021-12-03 10:54:43   阅读：1972 次   消耗积分：0 分,2021年已经进入倒计时！你还在考虑要不要转行学习吗？还在为能否学会担心犹豫吗？比你早一步下定决心的同学都已经学完就业啦！蜗牛学苑免费试听名额正火热报名中！早做决...,http://old.woniuxy.com/note/814
4,资讯:就业丨大厂offer、一周加薪，这届学员了不得啊,作者：管理员   类别：学院动态   日期：2021-12-02 11:01:21   阅读：1729 次   消耗积分：0 分,就在前两天，B站公布了2021年度弹幕——破防了，指的是心理防线被突破后产生不可抑止的震动。这又是谁的心声？比如年底了，秋招已落下帷幕，现在的你是否还在为找工作焦虑...,http://old.woniuxy.com/note/813
4,访谈:公司内部转岗，从前台小妹到测试工程师，她的薪资...,作者：管理员   类别：学院动态   日期：2021-12-02 10:46:05   阅读：1519 次   消耗积分：0 分,各位小伙伴，大家好~今天分享咱们凡云教育测试直播班一位学员的故事！她叫小周，2016年毕业于河南一所专科学校，专业是计算机网络与技术。毕业之后并未从事本专业，而是选...,http://old.woniuxy.com/note/812
4,资讯:天府校区近期就业喜报，最高薪资13000元，平均薪...,作者：管理员   类别：学院动态   日期：2021-11-25 10:37:19   阅读：2117 次   消耗积分：0 分,同学们在咨询过程中，总会问到一些可爱的问题，比如：大专毕业转行做软件测试行吗？软件测试培训完就业能拿到高薪offer吗？培训完出来未来在行业内就能越走越好吗？问出了...,http://old.woniuxy.com/note/811
4,访谈:零基础转行Java开发入职起薪14K，适合自己的才...,作者：管理员   类别：学院动态   日期：2021-11-25 10:34:31   阅读：1997 次   消耗积分：0 分,● 人生就是在不断的做选择题，或许不知道正确答案，但一定可以摸索出最有把握的事情，转行也一样，如果对学习编程有兴趣，那就勇敢踏出这一步！西安校区--彭同学毕...,http://old.woniuxy.com/note/810
4,漫谈:网络安全从业者的职业发展路线有哪些？,作者：管理员   类别：网络安全   日期：2021-11-25 10:24:46   阅读：1653 次   消耗积分：0 分,网络安全人才稀缺，市场需求大、薪资待遇高。不少对网络安全、黑客、白客感兴趣的小伙伴已经开始行动了。有小伙伴咨询留言中问到：网络安全人才的发展路线是什么？想要成为...,http://old.woniuxy.com/note/809
4,访谈:销售转前端，最终在成都拿下12K的前端开发工作！,作者：管理员   类别：学院动态   日期：2021-11-18 11:10:45   阅读：1977 次   消耗积分：0 分,●梦寐以求的职场生活就此拉开帷幕，感谢当初不远万里来到这陌生城市学习的自己，现在拥有的一切也都是自己踏踏实实一步一步积累来的。也很感激蜗牛学苑，这是帮助我筑梦的...,http://old.woniuxy.com/note/808
4,资讯:网安从业人员平均年薪37.33万！这杯羹也得凭实力...,作者：管理员   类别：网络安全   日期：2021-11-18 11:06:27   阅读：1817 次   消耗积分：0 分,关于如何学习网络安全，网上有各种各样的说法，有说先掌握计算机基础原理；有说先学习各种编程语言；还有说先看看系统怎么操作的......如今网安人才已经成为国家重视企业...,http://old.woniuxy.com/note/807
4,资讯:最高薪资13K，平均薪资超1W，多一点执着，你也可...,作者：管理员   类别：学院动态   日期：2021-11-18 11:01:53   阅读：1769 次   消耗积分：0 分,对待学习，往往多一点执着，你也可以创造奇迹！当你还在摇摆不定的时候，蜗牛学苑的学员已经高薪就业，牢牢把握住了他们的人生。执着的意义，在于你自己不断的面对困难，克...,http://old.woniuxy.com/note/806
5,资讯:转行IT，但又不想敲代码，这个岗位错过就可惜了~,作者：管理员   类别：学院动态   日期：2021-11-18 10:59:46   阅读：2008 次   消耗积分：0 分,看到别人转行IT工作稳定了，跳槽一次涨一次薪水，羡慕、嫉妒吗？不少传统行业的小伙伴对转行IT已经蠢蠢欲动，但阻碍他们落地执行最大问题却是对敲代码不感兴趣。其实在IT...,http://old.woniuxy.com/note/805
5,资讯:开班|生活不只眼前的疫情，更有远方和未来,作者：管理员   类别：学院动态   日期：2021-11-09 11:27:06   阅读：2939 次   消耗积分：0 分,生活不该只有眼前的疫情，更有远方和未来。今天本是成都、天府、重庆、武汉、深圳五大校区线下开班的日子，疫情影响，成都地区两大校区响应号召由线下开班直接改为了线上开...,http://old.woniuxy.com/note/804
5,访谈:不甘日陷窘境的我，30岁选择了转行测试！,作者：管理员   类别：学院动态   日期：2021-11-09 11:18:37   阅读：2519 次   消耗积分：0 分,30岁这道坎，有人随波逐流得过且过，有人主动出击乘风破浪！古人云：“三十而立”，这不仅仅是说一个人到成家立业的年龄，其实也是一个人自我审视、破而后立的一个时间段...,http://old.woniuxy.com/note/803
5,资讯:学习就像跑马拉松，坚持到最后，就是胜利者！,作者：管理员   类别：学院动态   日期：2021-11-09 11:16:30   阅读：2394 次   消耗积分：0 分,零基础转行Web前端好学吗？听说入行门槛低？对于Web前端入行门槛低这个问题，其实应该辩证的看。相对IT技术的其他岗位确实有它更为友好的地方，比如HTML和CSS，前者是结...,http://old.woniuxy.com/note/802
5,资讯:网络安全就业一年后，同学们情况如何呢？,作者：管理员   类别：学院动态   日期：2021-11-04 11:24:41   阅读：2678 次   消耗积分：0 分,有什么行业？薪资待遇高、人才需求大而且越做越吃香呢？答案当然少不了网络安全工程师了！网络空间的竞争，归根结底是人才的竞争！《网络安全产业人才发展报告》2021版在1...,http://old.woniuxy.com/note/801
5,资讯:最高薪资16K，平均薪资8060元，“打工人”双十...,作者：管理员   类别：学院动态   日期：2021-11-04 11:18:11   阅读：2371 次   消耗积分：0 分,各位“尾款人”这段时间的三餐都吃啥呢？10月30日已经凌晨了还有不少“尾款人”蓄势待发准备冲冲冲！经历了收藏加购走过了直播定金“尾款人”纷纷赶上了00:30的付款大家...,http://old.woniuxy.com/note/800
5,资讯:上海、西安校区又开新班啦！如火如荼，共赴高薪梦...,作者：管理员   类别：学院动态   日期：2021-11-04 11:14:53   阅读：2176 次   消耗积分：0 分,距离2022年不到2个月时间，年底跳槽求职的小伙伴何其多，而此时企业在人才需求上又略有削减。求职一再受阻……这段时间不少小伙伴来蜗牛学苑学习IT技术。有零基础转行来...,http://old.woniuxy.com/note/799
5,访谈:月薪18K，这位电气工程转行前端的小伙儿是如何做...,作者：管理员   类别：学院动态   日期：2021-11-04 11:09:48   阅读：2233 次   消耗积分：0 分,● 以前的自己疏于规划，过得稍显荒诞，如今走的每一步都在自己努力规划中……● 学习没有那么痛苦，学习也不应该与痛苦挂钩！多少人一毕业就成为了浑浑噩噩...,http://old.woniuxy.com/note/798
5,资讯:欢声笑语中蜗牛学苑第六届程序员节圆满结束！我们...,作者：管理员   类别：学院动态   日期：2021-10-28 14:30:52   阅读：3083 次   消耗积分：0 分,这个世界上拥有这样一群不普通的人。他们拥有众多标签却很简单，喜欢纯粹的生活，也追求工作的极致。他们用一行行代码改变着我们的生活，以低调、踏实、核心的功能模块搭建...,http://old.woniuxy.com/note/797
5,资讯:西安校区首期Web前端班全员就业，最高薪资17K，...,作者：管理员   类别：学院动态   日期：2021-10-28 12:17:09   阅读：2511 次   消耗积分：0 分,今天一大早就收到了西安校区就业老师发来的喜报！首期Web前端班全员就业，最高薪资17000元，平均薪资7312元。可喜可贺恭喜努力奋斗的小蜗牛们顺利就业！金九银十接近尾...,http://old.woniuxy.com/note/796
6,访谈:同窗好友成为同事，入职起薪18K，未来愿景将更加...,作者：管理员   类别：学院动态   日期：2021-10-28 12:11:22   阅读：2564 次   消耗积分：0 分,●肖同学： “目前入职薪资18K，为了与你一个项目组，放弃了19K的薪资！”●张同学：“为了跟你一起进这家公司我还拒绝了其他家公司的offer呐！”在蜗牛学苑短暂...,http://old.woniuxy.com/note/795
6,访谈:这位5点起床，坚定成为卷王的男人就业了，入职起...,作者：管理员   类别：学院动态   日期：2021-10-20 10:36:13   阅读：3317 次   消耗积分：0 分,时间过得真快，眨眼间，半年时间稍纵即逝。年初辞职来到蜗牛学苑，推开了我新征程的大门，开启了IT培训学习之旅，初秋已至顺利拿下三家企业的offer，将蜗牛学苑的培训学...,http://old.woniuxy.com/note/794
6,资讯:最高薪资18000元，平均薪资8566元，就业我们用...,作者：管理员   类别：学院动态   日期：2021-10-20 10:31:55   阅读：2346 次   消耗积分：0 分,毕业不到一年时间你换了多少份工作？如今的薪资过1万了吗？打扰了，告辞！围观的同学且慢，这还真不是凡尔赛，成都校区前端就业班，不少非985、非211、非计算机专业毕业...,http://old.woniuxy.com/note/793
6,资讯:天府、重庆、上海三校区开班，小蜗牛们朝着高薪进...,作者：管理员   类别：学院动态   日期：2021-10-12 11:11:19   阅读：3386 次   消耗积分：0 分,今年已过去四分之三，年初列的愿望清单完成了多少？现在的你，想不想抓住2021的小尾巴走出舒适，勇敢试一次？如果还比较迷茫，还未找到方向，且看已经迈出第一步的他们！...,http://old.woniuxy.com/note/791
6,资讯:最高薪资20000元，平均月薪12919元，上海校区就...,作者：管理员   类别：学院动态   日期：2021-10-12 11:07:35   阅读：2647 次   消耗积分：0 分,很多同学是不是被IT培训费用给劝退过？经常会遇到对学费非常敏感且焦虑的同学。上来就问学费多少，问完就没下文了……如果你再多聊两句，你会发现这点培训费用在你以后的I...,http://old.woniuxy.com/note/790
6,访谈:90后宝妈重返职场，从行政转行测试，入职年薪12W...,作者：管理员   类别：学院动态   日期：2021-10-12 11:03:23   阅读：2580 次   消耗积分：0 分,当下，第一批90后已经步入而立之年，谁又想到，曾经被贴上非主流、杀马特、叛逆、个性等各种标签的他们，如今，不仅为人父母也挑起了生活的重担。本周给小伙伴们分享一位9...,http://old.woniuxy.com/note/789
6,访谈:科班出身来蜗牛学苑提升学习，再出发入职起薪15K...,作者：管理员   类别：学院动态   日期：2021-09-28 15:31:32   阅读：3850 次   消耗积分：0 分,张同学18年毕业，已经在IT行业三年之久，一路走来，或多或少都经历了一些坎坷，也碰到过大大小小的困难。来蜗牛学苑学习前从事Java开发相关工作，因个人兴趣在蜗牛学苑参...,http://old.woniuxy.com/note/788
6,资讯:深圳校区|报名立减2000元的活动截止到10月15日...,作者：管理员   类别：学院动态   日期：2021-09-28 15:28:36   阅读：3217 次   消耗积分：0 分,好消息，好消息，深圳校区报名最低立减2000元的活动将持续到10月15日！蜗牛学苑首期开班完美结束，第二期开班时间在11月08日！国庆出游回来还能赶上优惠活动的末班车，...,http://old.woniuxy.com/note/787
6,资讯:最高薪资11500元，平均薪资8866元，天府校区最...,作者：管理员   类别：学院动态   日期：2021-09-28 15:18:28   阅读：3520 次   消耗积分：0 分,各位小伙伴大家好呀！最新就业信息，蜗牛学苑天府校区软件测试班学员完成就业，毕业12个工作日，就业率达到90%。就业学员平均薪资8866元，最高薪资11500元。详细就业信...,http://old.woniuxy.com/note/786
6,漫谈:金九银十，没有项目经验的应届生如何竞争大厂机会...,作者：管理员   类别：学院动态   日期：2021-09-28 15:14:45   阅读：3234 次   消耗积分：0 分,金九银十正值秋招，很多公司在招聘程序员应届生时都会考虑应聘者的项目经验，而不少应届生在校期间因为课业繁忙或没有时间实习难以参与到公司的具体项目，面试时不知道怎么...,http://old.woniuxy.com/note/785
7,资讯:进一步加强校企合作，蜗牛学苑助力高校学子成功就...,作者：管理员   类别：学院动态   日期：2021-09-17 10:22:56   阅读：3970 次   消耗积分：0 分,近期蜗牛学苑进入成都理工大学工程技术学院开展校内实训，为软件工程、计算机应用等专业同学们提供技术实训支持，本次带队的有Java开发方向的翟老师、测试方向的邓老师以...,http://old.woniuxy.com/note/784
7,资讯:蜗牛学苑武汉校区最新就业情况，平均薪资9090元...,作者：管理员   类别：学院动态   日期：2021-09-17 10:10:07   阅读：3201 次   消耗积分：0 分,小伙伴们大家好呀！蜗牛学苑各校区每月均有开班，每月也会有不少学员就业离开，近期武汉校区带来了最新的就业情况，祝贺开发和测试班的同学们完成就业，平均薪资9090元，...,http://old.woniuxy.com/note/783
7,访谈:月薪7K到15K，揭秘机械制造专业小伙儿的涨薪秘诀...,作者：管理员   类别：学院动态   日期：2021-09-17 10:02:43   阅读：3787 次   消耗积分：0 分,大家好呀~本周给大家分享一位来自上海校区掌握了涨薪秘诀的小伙儿！魏同学，17年大学机械制造自动化专业毕业，毕业后在机械制造行业工作了3年时间，随后转行到蜗牛学苑学...,http://old.woniuxy.com/note/782
7,资讯:“双减”政策后K12普通职员的再就业之路！,作者：管理员   类别：学院动态   日期：2021-09-09 11:49:51   阅读：3471 次   消耗积分：0 分,9月全国中小学已开学，孩子们也都进入了校园开始了新一期的学习，“双减”政策的落实引起了不少人对中小学教育、对培训机构的关注，热搜也接连不断。“双减”政策的落地，...,http://old.woniuxy.com/note/781
7,资讯:蜗牛就业喜报|最高薪资15k，平均薪资9323元！,作者：管理员   类别：学院动态   日期：2021-09-09 11:45:28   阅读：3257 次   消耗积分：0 分,最近蜗牛重庆校区迎来了大批学员就业，有人哭着说不舍，有人笑着说解脱，不管如何在蜗牛忙碌学习的日子终于结束了，学员们也有了新收获。重庆校区的学员们在就业上非常迅速...,http://old.woniuxy.com/note/780
7,访谈:毕业2年，转行学网络安全，入职月薪17.5K!,作者：管理员   类别：学院动态   日期：2021-09-09 11:41:56   阅读：3494 次   消耗积分：0 分,小伙伴们，大家好呀！本周分享的这个学员，来自天府校区网络安全4期的孟同学，19年电气工程及其自动化专业毕业，来蜗牛学习前做了一段时间的设备运维，当下已入职北京的一...,http://old.woniuxy.com/note/779
7,资讯:企业上门挖人才，蜗牛学子实力出众！,作者：管理员   类别：学院动态   日期：2021-09-02 15:45:28   阅读：2924 次   消耗积分：0 分,8月蜗牛各校区学员就业告一段落，本月企业需求大于供应，一些企业还未上门学员已完成就业，便有企业提前叮嘱就业老师：学员一旦开始就业，马上通知他们上门招聘。据统计8...,http://old.woniuxy.com/note/778
7,资讯:蜗牛最新就业喜报，平均薪资8931元，最高薪资14...,作者：管理员   类别：学院动态   日期：2021-09-02 15:34:06   阅读：2874 次   消耗积分：0 分,哈喽，小伙伴大家好哦~随着新一线城市的进一步发展，国内城镇化的进一步推进，各级城市对于技术型人才的需求量和吸纳能力也在进一步的增强。与此同时，各级城市愿意为技术...,http://old.woniuxy.com/note/777
7,资讯:蜗牛又开新班，点赞每一位勇敢改变的人！,作者：管理员   类别：学院动态   日期：2021-09-02 15:29:51   阅读：2984 次   消耗积分：0 分,各位小伙伴，大家好呀~蜗牛学苑成都校区又迎来了好多新朋友~每次正式授课前，我们都会预留半天时间为大家举行一个开班仪式。开班仪式上班主任李老师给大家介绍了蜗牛学苑...,http://old.woniuxy.com/note/776
7,访谈:工作4年后，她零基础转行学测试，入职起薪13K!,作者：管理员   类别：学院动态   日期：2021-09-02 15:18:30   阅读：3047 次   消耗积分：0 分,哈喽，各位小伙伴大家好呀~本周分享的这位小姐姐，她来自重庆校区测试47期，原本是学前教育专业，工作4年后在朋友影响下到蜗牛学习测试，目前已经拿到offer，入职起薪为1...,http://old.woniuxy.com/note/775
8,资讯:Web前端全套精选课程上线B站，课程及配套资料自...,作者：管理员   类别：学院动态   日期：2021-09-02 15:12:48   阅读：2530 次   消耗积分：0 分,Web前端工程师随着网络的发展而细分出来的行业专业人才。我们日常接触和使用到的微信小程序、网络游戏、电子商场、社交应用、美食外卖、影视播放、视频直播、门户网站等，...,http://old.woniuxy.com/note/774
8,资讯:高鹏老师最新Java全栈开发视频已上线B站！,作者：管理员   类别：学院动态   日期：2021-08-26 12:02:37   阅读：2563 次   消耗积分：0 分,它来啦！它来啦！它来啦！高鹏老师最新Java全栈开发视频上线B站啦！负责更新的小姐姐也能减轻部分被催更的压力各位小伙伴可以高高兴兴遨游在高老师的课堂啦！高鹏老师最新...,http://old.woniuxy.com/note/773
8,资讯:测试班的小蜗牛们就业啦！平均薪资9096元，最高...,作者：管理员   类别：学院动态   日期：2021-08-26 11:11:22   阅读：2262 次   消耗积分：0 分,如今越来越多的软件企业朝着规模化、规范化、个性化发展，所需招聘的软件测试人数也随之增多。不少没有计算机基础的同学，通过转行学习软件测试、测试开发等技术，成功进入...,http://old.woniuxy.com/note/772
