微博id(评论来自于这),用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4801611157736041,4801618811291640,青铜无忌,2022-08-12 11:59:32,江苏,川宝虽然缺乏战略纵深，但是他是一个有血有肉真实的人。,512,2
4801611157736041,4801614030048437,没溜的反函数,2022-08-12 11:59:32,北京,锒铛入狱,5.3万,2
4801611157736041,4801613942491943,打油诗bot,2022-08-12 11:59:32,江苏,锒铛lang dang……字幕里应该是案件，不是按键,28,2
4801611157736041,4801623572088399,勤深易浓,2022-08-12 11:59:32,江西,铃铛入狱,917,1
4801611157736041,4801612705173433,启迪91029,2022-08-12 11:59:32,辽宁,今天晚上B站连线直播我会准时收看,184,1
4801611157736041,4801669936711730,铭ing86,2022-08-12 11:59:32,四川,只有懂王在线，冰汝的新闻才更新得快！,7,1
4801704170624714,4801706347726582,我不想反思了,2022-08-12 18:09:08,河北,从开始到现在，🇨🇳从来没有抵制全球化合作，不管是外宣还是行动，包括一带一路。,26,7
4801704170624714,4801708268458987,我不想反思了,2022-08-12 18:09:08,河北,🇺🇸从开始犯了个根本性错误，放弃中低端产业，只搞金融和高技术，搞来搞去，财阀发财，普通人受损，现在又想往回拉，覆水难收。能卡🇨🇳脖子的也只有这两方面了，只要再有点时间，把这两个领域攻破，他们也只能拿原子弹吓唬人了。,26,0
4801700500079543,4801703918961800,中国国产,2022-08-12 17:54:33,广东,我默默打上了，8个哈哈哈哈哈哈哈哈哈,133.5万,6
4801700500079543,4801705663791869,River江波,2022-08-12 17:54:33,河北,川建国：哈哈哈哈哈哈，打中文，看不起谁,1.6万,1
4801700500079543,4801704496731623,就是我楠,2022-08-12 17:54:33,广东,HAGA！,34,0
4801700500079543,4801702367073325,黑球球粉球球,2022-08-12 17:54:33,重庆,哈哈哈哈哈哈,139,0
4801700500079543,4801703926829544,dddduyuyulellele,2022-08-12 17:54:33,湖北,嘲讽拉满,15,0
4801700500079543,4801701573303872,我还是祥小牛,2022-08-12 17:54:33,河北,哈哈哈哈哈哈,2371,0
4801709208243989,4801710108971837,一家亲之地球人,2022-08-12 18:29:09,广东,若当年拉登有现代科技，还需要派飞机去撞吗？,5,2
4801709208243989,4801710062835800,天涯过客游子心,2022-08-12 18:29:09,江苏,我不信，能再表演一次吗,86,2
4801709208243989,4801711237501626,一人千面尽世愁,2022-08-12 18:29:09,重庆,我不信，我都没看见，这肯定是电影,22,0
4801709208243989,4801711024377282,喆正智能一3D打印,2022-08-12 18:29:09,四川,爽！,107,0
4801709208243989,4801712021575082,时光画外,2022-08-12 18:29:09,浙江,不错，啥时候再来几次吧！！霉国活该！！！,35,0
4801709208243989,4801711921958722,三千里风景,2022-08-12 18:29:09,重庆,没引爆黑蛋…不过瘾…,4,0
4801709208243989,4801711744745572,三千里风景,2022-08-12 18:29:09,重庆,发生频率太低了…,4,0
4801709208243989,4801711598472720,永和九年取舍万殊,2022-08-12 18:29:09,吉林,听说只有平民遇难当天重要人物都没有出现在楼里,180,0
4801709208243989,4801710796835286,wndaye,2022-08-12 18:29:09,重庆,这要参加射击比赛，都是10环,17,1
4801709208243989,4801710368752707,火星人笔记,2022-08-12 18:29:09,广东,不就是把强盗野人的房子撞了嘛，多大点事,3,1
4801709208243989,4801711610272732,余火燃烧,2022-08-12 18:29:09,四川,这是世界上最伟大的袭击，没有之一。,0,1
4801700500079543,4801703918961800,中国国产,2022-08-12 17:54:33,广东,我默默打上了，8个哈哈哈哈哈哈哈哈哈,133.5万,6
4801700500079543,4801705663791869,River江波,2022-08-12 17:54:33,河北,川建国：哈哈哈哈哈哈，打中文，看不起谁,1.6万,1
4801700500079543,4801704496731623,就是我楠,2022-08-12 17:54:33,广东,HAGA！,34,0
4801700500079543,4801702367073325,黑球球粉球球,2022-08-12 17:54:33,重庆,哈哈哈哈哈哈,139,0
4801700500079543,4801703926829544,dddduyuyulellele,2022-08-12 17:54:33,湖北,嘲讽拉满,15,0
4801700500079543,4801701573303872,我还是祥小牛,2022-08-12 17:54:33,河北,哈哈哈哈哈哈,2371,0
4801709208243989,4801710108971837,一家亲之地球人,2022-08-12 18:29:09,广东,若当年拉登有现代科技，还需要派飞机去撞吗？,5,2
4801709208243989,4801710062835800,天涯过客游子心,2022-08-12 18:29:09,江苏,我不信，能再表演一次吗,86,2
4801709208243989,4801711237501626,一人千面尽世愁,2022-08-12 18:29:09,重庆,我不信，我都没看见，这肯定是电影,22,0
4801709208243989,4801711024377282,喆正智能一3D打印,2022-08-12 18:29:09,四川,爽！,107,0
4801709208243989,4801712021575082,时光画外,2022-08-12 18:29:09,浙江,不错，啥时候再来几次吧！！霉国活该！！！,35,0
4801709208243989,4801711921958722,三千里风景,2022-08-12 18:29:09,重庆,没引爆黑蛋…不过瘾…,4,0
4801709208243989,4801711744745572,三千里风景,2022-08-12 18:29:09,重庆,发生频率太低了…,4,0
4801709208243989,4801711598472720,永和九年取舍万殊,2022-08-12 18:29:09,吉林,听说只有平民遇难当天重要人物都没有出现在楼里,180,0
4801709208243989,4801710796835286,wndaye,2022-08-12 18:29:09,重庆,这要参加射击比赛，都是10环,17,1
4801709208243989,4801710368752707,火星人笔记,2022-08-12 18:29:09,广东,不就是把强盗野人的房子撞了嘛，多大点事,3,1
4801709208243989,4801711610272732,余火燃烧,2022-08-12 18:29:09,四川,这是世界上最伟大的袭击，没有之一。,0,1
4801706673835254,4801708368333657,小缸盖,2022-08-12 18:19:05,四川,耗子还想喝猫奶,17,6
4801706673835254,4801708850416768,坚果中的世界,2022-08-12 18:19:05,广东,芬太尼泛滥影响美国大麻利益集团,12,3
4801706673835254,4801707936846853,釁膚,2022-08-12 18:19:05,重庆,和鸦片这个东西异曲同工啊,188,2
4801706673835254,4801708851732241,鱼儿游圈圈,2022-08-12 18:19:05,广东,生化危机街头版,318,1
4801706673835254,4801708188506553,根哥仔,2022-08-12 18:19:05,广西,只是怕你倾销做烂市,62,0
4801711821294316,4801711829419093,留学的柚子学姐,2022-08-12 18:39:32,四川,选择优于努力，选择自己能申请成功的学校专业，制定好申请方案，是整个留学申请的重点；如果同学有留学择校，规划，机构的疑问或者是困惑，可与学姐在线交流，直接点击右侧链接 网页链接,5.1万,0
