标题名,影片名,格式,音频,属性,年份,时长,IMDB值,简介,影片海报,影片下载web_url,影片下载url之一
Ted K Torrent (2022) Dual Áudio / Dublado BluRay – Download,Unabomber Terrorista,MKV,"Português, Inglês","Drama,Crime,Suspense",2022,2h 00 Min.,6.0/10,":Uma exploração da vida de Ted Kaczynski em Lincoln, Montana, nos anos que antecederam sua prisão como O Unabomber (codinome). ",https://filmestorrents.site/wp-content/uploads/2022/06/Ted-K-filmestorrents-net.jpg,https://filmestorrents.site/ted-k-torrent-2022-dual-audio-dublado-bluray-download/#more-34213,magnet:?xt=urn:btih:e1321eeef862e1e37f56c20043ae1202779e1c43&dn=Unabomber%20Terrorista%202022%201080p%20BluRay%20DUAL&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.publicbt.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.internetwarriors.net%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fwww.torrent.eu.org%3a451%2fannounce
Doutor Estranho no Multiverso da Loucura Torrent IMAX (2022) Dual Áudio / Dublado WEB-DL 720p & 1080p & 4K – Download,Doutor Estranho no Multiverso da Loucura,MKV,"Português, Inglês","Ação,Aventura,Fantasia",2022,2h 06 Min.,7.3/10,":Doutor Estranho, com a ajuda de aliados místicos antigos e novos, atravessa as perigosas realidades alternativas e alucinantes do Multiverso para enfrentar um novo adversário misterioso.",https://filmestorrents.site/wp-content/uploads/2022/06/Doutor-Estranho-no-Multiverso-da-Loucura-filmestorrents-net.jpg,https://filmestorrents.site/doutor-estranho-no-multiverso-da-loucura-torrent-2022-dual-audio-dublado-web-dl-720p-1080p-4k-download/#more-34099,magnet:?xt=urn:btih:a778472b4edda562a29d602fb763904d24c74c45&dn=Doutor%20Estranho%20no%20Multiverso%20da%20Loucura%202022%201080p%20WEB-DL%20DUAL%205.1&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.publicbt.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.internetwarriors.net%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fwww.torrent.eu.org%3a451%2fannounce
O Homem do Norte Torrent (2022) Dual Áudio / Dublado BluRay – Download,O Homem do Norte,MKV,"Português, Inglês","Ação,Aventura,Drama",2022,2h 17 Min.,7.5/10,":Baseado na obra de Shakespeare, Hamlet, e na lenda viking de Amelth. No ano de 914, o príncipe Amleth (Alexander Skarsgård) testemunha o brutal assassinato de seu pai, Horvendill (Ethan Hawke) por seu tio, Fjölnir (Claes Bang). O menino foge mas jura que voltará para vingar seu pai, salvar sua mãe e matar seu tio. Vinte anos depois conhece uma vidente que o lembra que é chegada a hora de cumprir sua promessa.",https://filmestorrents.site/wp-content/uploads/2022/06/O-Homem-do-Norte-filmestorrents-net.jpg,https://filmestorrents.site/o-homem-do-norte-torrent-2022-dual-audio-dublado-bluray-download/#more-33779,magnet:?xt=urn:btih:f57e39710c20c02f21f1ac0ce1ddad26d11161c8&dn=O%20Homem%20do%20Norte%202022%201080p%20BluRay%20DUAL%205.1&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.publicbt.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.internetwarriors.net%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fwww.torrent.eu.org%3a451%2fannounce
100 Dias para o Natal Torrent (2022) Dual Áudio / Dublado WEB-DL 720p – Download,100 Dias para o Natal,MKV,"Português, Inglês","Comédia,Romance,Musical",2022,2h 10 Min.,5.5/10,":Uma boy band do momento procura por um hit natalino e se depara com uma música escrita pelo baixista de uma banda de metal. Tudo dá errado quando a banda de metal também quer a música, já que ela foi escrita originalmente para a sobrinha do baixista que está hospitalizada. ",https://filmestorrents.site/wp-content/uploads/2022/07/100-Dias-para-o-Natal-filmestorrents-net.jpg,https://filmestorrents.site/100-dias-para-o-natal-torrent-2022-dual-audio-dublado-web-dl-720p-download/#more-34610,magnet:?xt=urn:btih:219a827dd0d88560bab0717f5362e450c18f9084&dn=100%20Dias%20para%20o%20Natal%202021%20720p%20WEB-DL%20DUAL&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.publicbt.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.internetwarriors.net%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fwww.torrent.eu.org%3a451%2fannounce
Passagem Secreta Torrent (2022) Dublado WEB-DL 720p – Download,Passagem Secreta,MP4,Português,"Aventura,Família,Fantasia,Ficçãocientífica",2022,1h 35 Min.,5.2/10,":Alice é obrigada a se mudar sozinha para uma pequena cidade, onde encontra um novo grupo de amigos. Ao invadir um parque de diversões para resgatar um dos seus colegas, Alice descobre segredos sobre a sua identidade e precisa fazer escolhas. ",https://filmestorrents.site/wp-content/uploads/2022/07/Passagem-Secreta-filmestorrents-net.jpg,https://filmestorrents.site/passagem-secreta-torrent-2022-dublado-web-dl-720p-download/#more-34607,magnet:?xt=urn:btih:c4b2a2aa90d8b41bd5261679763065add604d8a2&dn=Passagem%20Secreta%202021%20720p%20WEB-DL%20NACIONAL&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.publicbt.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.internetwarriors.net%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fwww.torrent.eu.org%3a451%2fannounce
The Rookie 4ª Temporada Torrent (2021) Dual Áudio / Legendado WEB-DL 720p | 1080p – Download,The Rookie,MKV,"Português, Inglês","Crime,Drama",2022,42Min.,8.0/10,":John Nolan, de 40 anos, muda sua vida para ser um agente policial no Departamento de Polícia de Los Angeles. ",https://filmestorrents.site/wp-content/uploads/2021/09/The-Rookie-4a-Temporada-Torrent-200x300.jpg,https://filmestorrents.site/the-rookie-4a-temporada-torrent-2021-dual-audio-legendado-web-dl-720p-1080p-download/#more-28868,magnet:?xt=urn:btih:17c7bab25aeae2d261fbd4f61fbeaf0d22a6cca5&dn=The.Rookie.S04e01-02.720p.WEB-DL.DUBLADO&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.publicbt.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.internetwarriors.net%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fwww.torrent.eu.org%3a451%2fannounce
My Unfamiliar Family 1ª Temporada Torrent Legendado WEB-DL 1080p – Download,My Unfamiliar Family,MKV,Coreano,Drama,2022,70 Min./ Ep.,7.8/10,:Uma família que se afastou ao longo dos anos tenta reatar os laços enquanto enfrenta obstáculos da vida. ,https://filmestorrents.site/wp-content/uploads/2022/07/My-Unfamiliar-Family-filmestorrents-net.jpg,https://filmestorrents.site/my-unfamiliar-family-1a-temporada-torrent-legendado-web-dl-1080p-download/#more-34603,magnet:?xt=urn:btih:0bc22205ebe6017d7e8c9a61ee00c88729159e84&dn=My.Unfamiliar.Family.S01.KOREAN.1080p.NF.WEBRip.AAC2.0.x264-KHN%5Brartv%5D&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2800&tr=udp%3A%2F%2F9.rarbg.to%3A2930&tr=udp%3A%2F%2Ftracker.slowcheetah.org%3A14730&tr=udp%3A%2F%2Ftracker.fatkhoala.org%3A13780
The Old Man 1ª Temporada Torrent Legendado WEB-DL 720p & 1080p – Download,The Old Man,MKV,Inglês,"Ação,Drama,Suspense",2022,60 min.,8.5/10,":Um ex-agente da CIA, que vive fora da rede, se vê fugindo de pessoas que querem matá-lo. ",https://filmestorrents.site/wp-content/uploads/2022/06/The-Old-Man-filmestorrents-net.jpg,https://filmestorrents.site/the-old-man-1a-temporada-torrent-legendado-web-dl-720p-1080p-download/#more-34045,magnet:?xt=urn:btih:ccf29176c633ac5ce9a753936b9dbeac7eae89df&dn=The.Old.Man.S01E01.I.720p.AMZN.WEBRip.DDP5.1.x264-NTb%5Brartv%5D&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2990&tr=udp%3A%2F%2F9.rarbg.to%3A2980&tr=udp%3A%2F%2Ftracker.fatkhoala.org%3A13710&tr=udp%3A%2F%2Ftracker.tallpenguin.org%3A15750
Mayans M.C. 4ª Temporada Torrent Dual Áudio / Dublado WEB-DL 720p & 1080p – Download,Mayans M.C.,MKV,"Português, Inglês","Crime,Drama,Suspense",2022,42 Min.,7.5/10,":Ezekiel “EZ” Reyes deixa a prisão e logo se envolve com o negócio dos Mayans M.C., na fronteira do México com a Califórnia. Agora, ele deve criar uma identidade do zero. ",https://filmestorrents.site/wp-content/uploads/2022/04/Mayans-M.C.-filmestorrents-net.jpg,https://filmestorrents.site/mayans-m-c-4a-temporada-torrent-dual-audio-dublado-web-dl-720p-1080p-download/#more-32995,magnet:?xt=urn:btih:063b5d642253f011cf35df540d8beb6b68359b1f&dn=Mayans.M.C.S04.720p.AMZN.WEBRip.DDP5.1.x264-NTb%5Brartv%5D&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2730&tr=udp%3A%2F%2F9.rarbg.to%3A2950&tr=udp%3A%2F%2Ftracker.slowcheetah.org%3A14800&tr=udp%3A%2F%2Ftracker.fatkhoala.org%3A13720
Irma Vep 1ª Temporada Torrent Dual Áudio / Dublado WEB-DL 720p | 1080p – Download,Irma Vep,MKV,"Português, Inglês","Comédia,Drama",2022,50 Min.,6.4/10,":Mira, uma estrela de cinema que está desiludida com sua carreira e acaba de passar por um término, vai para a França estrelar “Irma Vep”, um remake de “Les Vampires”, um clássico do cinema mudo francês. ",https://filmestorrents.site/wp-content/uploads/2022/06/Irma-Vep-filmestorrents-net.jpg,https://filmestorrents.site/irma-vep-1a-temporada-torrent-dual-audio-dublado-web-dl-720p-1080p-download/#more-33827,magnet:?xt=urn:btih:4702328bc0e9fe5ce69eecb3b6c363cb7ffd8095&dn=Irma.Vep.S01E01.720p.WEB-DL.DUAL&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.publicbt.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.internetwarriors.net%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fwww.torrent.eu.org%3a451%2fannounce
The Orville 3ª Temporada Torrent Dual Áudio / Dublado WEB-DL 720p & 1080p – Download,The Orville,MKV,"Português, Inglês","Aventura,Comédia,Drama",2022,42 min./ EP.,8.0/10,":Ed Grayson (Seth MacFarlane), que acaba de enfrentar um divórcio, assume a missão de comandar a nave exploratório Orville, e vê neste trabalho a chance de recomeçar sua vida. O capitão começa a montar uma equipe tão bem preparada quanto excêntrica, e é aí que descobre que uma das tripulantes será sua ex-esposa Kelly Grayson (Adrianne Palicki). Agora, não importa suas desavenças, juntos eles precisam aprender a conviver no espaço. ",https://filmestorrents.site/wp-content/uploads/2022/06/The-Orville-filmestorrents-net.jpg,https://filmestorrents.site/the-orville-3a-temporada-torrent-dual-audio-dublado-web-dl-720p-1080p-download/#more-33744,magnet:?xt=urn:btih:db9e76e421434c6e8c6aee3e5360efe530e774de&dn=The.Orville.S03E01.WEB-DL.1080p.DUAL&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.publicbt.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.internetwarriors.net%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fwww.torrent.eu.org%3a451%2fannounce
American Horror Stories 2ª Temporada Torrent Legendado WEB-DL 720p & 1080p – Download,American Horror Stories,MKV,Inglês,"Drama,Suspense,Terror",2022,45 Min.,6.1/10,":Uma série de antologias de episódios autônomos que investigam mitos, lendas e tradições de terror. ",https://filmestorrents.site/wp-content/uploads/2022/07/American-Horror-Stories-filmestorrents-net.jpg,https://filmestorrents.site/american-horror-stories-2a-temporada-torrent-legendado-web-dl-720p-1080p-download/#more-34596,magnet:?xt=urn:btih:0387045f784393a2018d2b7b87171f12614db591&dn=American.Horror.Stories.S02E01.720p.WEB.H264-CAKES%5Brartv%5D&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2980&tr=udp%3A%2F%2F9.rarbg.to%3A2810&tr=udp%3A%2F%2Ftracker.slowcheetah.org%3A14770&tr=udp%3A%2F%2Ftracker.fatkhoala.org%3A13780
